COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
Bohra Industries Limited,9.81,90.19
Bombay Dyeing & Mfg Company Limited,53.57,46.43
Borana Weaves Limited,65.24,34.76
Borosil Limited,64.62,35.38
BOROSIL RENEWABLES LIMITED,58.77,41.23
Borosil Scientific Limited,67.81,32.19
BOSCH HOME COMFORT INDIA LIMITED,82.22,17.78
Bosch Limited,70.54,29.46
Bharat Petroleum Corporation Limited,52.98,47.02
BPL Limited,63.13,36.87
Brigade Enterprises Limited,41.12,58.88
Brigade Hotel Ventures Limited,74.09,25.91
Britannia Industries Limited,50.55,49.45
Bharat Road Network Limited,51.97,48.03
Brooks Laboratories Limited,52.62,47.38
BSE Limited,0.0,100.0
Bombay Super Hybrid Seeds Limited,73.85,26.15
BSL Limited,56.72,43.28
BIRLASOFT LIMITED,40.51,59.48
Bodhi Tree Multimedia Limited,24.43,75.57
Burnpur Cement Limited,1.98,98.02
Butterfly Gandhimathi Appliances Limited,75.0,25.0
Barak Valley Cements Limited,54.12,45.88
The Byke Hospitality Ltd,42.25,57.75
California Software Company Limited,62.26,37.74
Camlin Fine Sciences Limited,48.03,51.97
Campus Activewear Limited,72.11,27.89
Computer Age Management Services Limited,0.0,100.0
Canara Bank,62.93,37.07
C & C Constructions Limited,32.36,67.64
Can Fin Homes Limited,29.99,70.01
Canara HSBC Life Insurance Company Limited,62.0,37.74
Cantabil Retail India Limited,74.21,25.79
Capacit'e Infraprojects Limited,31.69,68.31
Capillary Technologies India Limited,52.28,47.72
Capital Small Finance Bank Limited,17.96,82.04
Caplin Point Laboratories Limited,70.57,29.43
Capital Trust Limited,54.13,45.45
Carborundum Universal Limited,38.9,61.1
CARE Ratings Limited,0.0,100.0
Carraro India Limited,68.77,31.23
Cartrade Tech Limited,0.0,100.0
CARYSIL LIMITED,41.33,58.67
Castrol India Limited,51.0,49.0
AvenuesAI Limited,27.29,72.27
Consolidated Construction Consortium Limited,60.05,39.95
Country Club Hospitality & Holidays Limited,73.8,26.2
CCL Products (India) Limited,46.11,53.64
Central Depository Services (India) Limited,15.0,85.0
CEAT Limited,47.21,52.52
Ceigall India Limited,82.06,17.94
Celebrity Fashions Limited,33.42,66.58
Cello World Limited,75.0,25.0
Cemindia Projects Limited,67.46,32.54
Century Enka Limited,24.86,75.14
Century Extrusions Limited,52.04,47.96
Central Bank of India,89.27,10.73
Centrum Capital Limited,34.84,62.45
Centum Electronics Limited,46.89,53.11
Century Plyboards (India) Limited,72.64,27.36
Cera Sanitaryware Limited,54.41,45.55
Cerebra Integrated Technologies Limited,0.84,99.16
CESC Limited,52.11,47.89
Concord Enviro Systems Limited,51.43,48.57
Capri Global Capital Limited,59.92,40.08
CG Power and Industrial Solutions Limited,56.36,43.64
Chalet Hotels Limited,67.33,32.67
Chambal Fertilizers & Chemicals Limited,60.85,39.15
Chembond Material Technologies Limited,67.72,32.28
Chembond Chemicals Limited,67.94,32.06
Chemcon Speciality Chemicals Limited,74.47,25.53
Chemfab Alkalis Limited,72.13,27.87
Chemplast Sanmar Limited,54.99,45.01
Chennai Petroleum Corporation Limited,67.29,32.71
Cheviot Company Limited,74.88,25.12
Choice International Limited,53.65,46.35
Cholamandalam Investment and Finance Company Limited,49.72,50.28
Cholamandalam Financial Holdings Limited,46.38,53.62
CIE Automotive India Limited,65.7,34.3
Capital India Finance Limited,72.59,27.41
Cigniti Technologies Limited,54.0,46.0
Cineline India Limited,69.6,30.4
Cinevista Limited,67.43,32.57
Cipla Limited,29.21,70.79
CLC Industries Limited,95.0,5.0
Clean Science and Technology Limited,50.96,49.04
CL Educate Limited,51.78,48.22
Chaman Lal Setia Exports Limited,74.05,25.95
CMS Info Systems Limited,0.0,100.0
Creative Newtech Limited,56.62,43.38
Coal India Limited,63.13,36.87
Coastal Corporation Limited,42.22,57.78
Cochin Shipyard Limited,67.91,32.09
Coffee Day Enterprises Limited,7.83,92.17
Coforge Limited,0.0,100.0
Cohance Lifesciences Limited,57.49,42.51
Colgate Palmolive (India) Limited,51.0,49.0
Compuage Infocom Limited,42.65,57.35
Compucom Software Limited,71.06,28.94
Commercial Syn Bags Limited,58.79,41.21
Container Corporation of India Limited,54.8,45.2
Concord Biotech Limited,44.08,55.92
Confidence Petroleum India Limited,55.89,44.11
Consolidated Finvest & Holdings Limited,74.89,25.11
Control Print Limited,52.98,47.02
Coral India Finance & Housing Limited,74.96,25.04
Cords Cable Industries Limited,52.35,47.65
Coromandel International Limited,56.86,43.04
CORONA Remedies Limited,69.0,31.0
COSMO FIRST LIMITED,40.86,57.8
Country Condo's Limited,53.86,46.14
CP Capital Limited,63.77,36.23
Career Point Edutech Limited,63.7,36.3
Aditya Infotech Limited,76.91,23.09
Craftsman Automation Limited,48.7,51.3
Canara Robeco Asset Management Company Limited,75.0,25.0
Creative Eye Limited,56.26,43.74
CREDITACCESS GRAMEEN LIMITED,66.28,33.72
Crest Ventures Limited,69.75,29.36
CRISIL Limited,66.64,33.36
Crizac Limited,79.94,20.06
Crompton Greaves Consumer Electricals Limited,0.0,100.0
Crown Lifters Limited,69.56,30.44
CSB Bank Limited,40.0,57.65
CSL Finance Limited,47.56,51.14
Cambridge Technology Enterprises Limited,50.91,47.15
City Union Bank Limited,0.0,100.0
Cubex Tubings Limited,44.42,55.58
Cummins India Limited,51.0,49.0
Cupid Limited,45.55,54.45
Cura Technologies Limited,75.2,24.8
Cyber Media (India) Limited,66.57,33.43
Cybertech Systems And Software Limited,36.52,63.48
Cyient Limited,23.29,76.1
Cyient DLM Limited,52.12,47.88
Dabur India Limited,66.23,33.77
Dalmia Bharat Limited,55.84,44.16
Dalmia Bharat Sugar and Industries Limited,74.91,25.09
Dam Capital Advisors Limited,40.0,60.0
Damodar Industries Limited,70.21,29.79
Dangee Dums Limited,55.68,44.32
Datamatics Global Services Limited,66.33,33.67
Data Patterns (India) Limited,42.41,57.59
Davangere Sugar Company Limited,41.78,58.22
